Mass (amu)	P (Torr)
0	0.0E+0
1	1.4E-7
2	2.5E-8
3	0.0E+0
4	0.0E+0
5	0.0E+0
6	0.0E+0
7	0.0E+0
8	1.0E-10
9	0.0E+0
10	0.0E+0
11	1.0E-10
12	2.3E-9
13	8.5E-9
14	5.4E-8
15	9.0E-9
16	4.2E-8
17	1.3E-7
18	4.6E-7
19	2.1E-9
20	9.0E-10
21	3.0E-10
22	4.0E-10
23	0.0E+0
24	0.0E+0
25	8.0E-10
26	4.0E-9
27	1.3E-6
28	2.0E-8
29	1.6E-8
30	8.0E-10
31	3.8E-7
32	0.0E+0
33	1.7E-9
34	2.0E-10
35	8.0E-10
36	1.0E-10
37	4.0E-10
38	1.2E-9
39	3.3E-8
40	9.0E-10
41	1.2E-9
42	4.1E-9
43	5.3E-8
44	1.0E-9
45	6.0E-10
46	0.0E+0
47	1.0E-10
48	0.0E+0
49	0.0E+0
50	0.0E+0
51	0.0E+0
52	0.0E+0
53	0.0E+0
54	3.0E-10
55	3.0E-10
56	3.0E-10
57	3.0E-10
58	0.0E+0
59	0.0E+0
60	0.0E+0
61	0.0E+0
62	0.0E+0
63	3.0E-10
64	0.0E+0
65	0.0E+0
66	0.0E+0
67	0.0E+0
68	0.0E+0
69	0.0E+0
70	0.0E+0
71	0.0E+0
72	0.0E+0
73	0.0E+0
74	0.0E+0
75	0.0E+0
76	0.0E+0
77	0.0E+0
78	0.0E+0
79	0.0E+0
80	0.0E+0
81	0.0E+0
82	0.0E+0
83	0.0E+0
84	0.0E+0
85	0.0E+0
86	0.0E+0
87	0.0E+0
88	0.0E+0
89	0.0E+0
90	0.0E+0
91	0.0E+0
92	0.0E+0
93	0.0E+0
94	1.0E-10
95	1.0E-10
96	1.0E-10
97	1.0E-10
98	0.0E+0
99	0.0E+0
100	0.0E+0
