Mass (amu)	P (Torr)
0	0.0E+0
1	1.7E-7
2	3.0E-8
3	0.0E+0
4	0.0E+0
5	0.0E+0
6	0.0E+0
7	0.0E+0
8	0.0E+0
9	0.0E+0
10	0.0E+0
11	0.0E+0
12	3.3E-9
13	8.3E-9
14	5.4E-8
15	1.3E-8
16	6.2E-8
17	1.8E-7
18	7.0E-7
19	2.0E-9
20	1.2E-9
21	3.0E-10
22	7.0E-10
23	0.0E+0
24	1.0E-10
25	1.5E-9
26	6.9E-9
27	1.2E-6
28	4.0E-8
29	2.4E-8
30	1.0E-9
31	4.5E-7
32	1.0E-9
33	1.5E-9
34	2.0E-10
35	1.5E-9
36	1.0E-10
37	9.0E-10
38	1.8E-9
39	3.0E-8
40	2.3E-9
41	2.8E-9
42	7.1E-9
43	7.3E-8
44	1.6E-9
45	9.0E-10
46	0.0E+0
47	3.0E-10
48	0.0E+0
49	0.0E+0
50	1.0E-10
