Mass (amu)	P (Torr)
0	0.0E+0
1	9.0E-8
2	3.3E-8
3	0.0E+0
4	0.0E+0
5	0.0E+0
6	0.0E+0
7	0.0E+0
8	1.0E-10
9	0.0E+0
10	0.0E+0
11	1.0E-10
12	2.9E-9
13	6.0E-10
14	2.6E-9
15	8.5E-9
16	5.4E-8
17	2.5E-7
18	4.4E-7
19	1.0E-9
20	1.8E-9
21	3.0E-10
22	0.0E+0
23	0.0E+0
24	0.0E+0
25	1.4E-9
26	6.2E-9
27	5.3E-8
28	4.0E-9
29	9.0E-9
30	4.0E-10
31	2.5E-8
32	0.0E+0
33	3.0E-10
34	1.0E-10
35	1.3E-9
36	1.0E-10
37	9.0E-10
38	1.2E-9
39	1.2E-9
40	2.4E-9
41	2.8E-9
42	6.2E-9
43	6.1E-8
44	1.4E-9
45	6.0E-10
46	1.0E-10
47	3.0E-10
48	0.0E+0
49	2.0E-10
50	2.0E-10
51	3.0E-10
52	2.0E-10
53	3.0E-10
54	6.0E-10
55	6.0E-10
56	6.0E-10
57	6.0E-10
58	3.0E-10
59	2.0E-10
60	1.0E-10
61	1.0E-10
62	2.0E-10
63	3.0E-10
64	1.0E-10
65	1.0E-10
66	1.0E-10
67	1.0E-10
68	0.0E+0
69	0.0E+0
70	0.0E+0
71	0.0E+0
72	0.0E+0
73	0.0E+0
74	0.0E+0
75	0.0E+0
76	0.0E+0
77	0.0E+0
78	0.0E+0
79	0.0E+0
80	0.0E+0
81	0.0E+0
82	0.0E+0
83	0.0E+0
84	0.0E+0
85	0.0E+0
86	0.0E+0
87	0.0E+0
88	0.0E+0
89	0.0E+0
90	0.0E+0
91	0.0E+0
92	0.0E+0
93	1.0E-10
94	0.0E+0
95	1.0E-10
96	1.0E-10
97	0.0E+0
98	0.0E+0
99	1.0E-10
100	0.0E+0
