Mass (amu)	P (Torr)
0	0.0E+0
1	1.2E-7
2	3.9E-8
3	0.0E+0
4	0.0E+0
5	0.0E+0
6	0.0E+0
7	0.0E+0
8	1.0E-10
9	0.0E+0
10	0.0E+0
11	1.0E-10
12	3.9E-9
13	1.0E-9
14	4.3E-9
15	1.4E-8
16	6.6E-8
17	3.2E-7
18	9.0E-7
19	2.1E-9
20	2.1E-9
21	3.0E-10
22	6.0E-10
23	1.0E-10
24	2.0E-10
25	1.8E-9
26	7.4E-9
27	6.4E-8
28	6.0E-9
29	9.5E-9
30	6.0E-10
31	2.1E-8
32	2.0E-10
33	2.0E-10
34	3.0E-10
35	1.6E-9
36	2.0E-10
37	9.0E-10
38	1.5E-9
39	1.3E-9
40	3.2E-9
41	3.4E-9
42	7.6E-9
43	7.2E-8
44	1.8E-9
45	6.0E-10
46	1.0E-10
47	3.0E-10
48	1.0E-10
49	2.0E-10
50	2.0E-10
