This file is for Nitrogen Flow Rate and Pressure in Calibration Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	C. C. P (mTorr)
0.000	0.18	0.70
0.175	0.18	0.71
0.367	0.18	0.72
0.567	0.18	0.72
0.767	0.18	0.69
0.967	0.18	0.71
1.167	9.39	0.70
1.367	12.51	0.73
1.567	10.93	0.73
1.767	10.46	0.74
1.967	10.23	0.74
2.167	10.12	0.81
2.367	10.06	0.83
2.567	10.02	0.86
2.767	10.03	0.82
2.967	10.02	0.84
3.167	9.98	0.86
3.367	9.97	0.87
3.567	9.99	0.94
3.767	9.97	0.90
3.967	10.01	0.93
4.167	9.96	0.95
4.367	9.98	0.97
4.567	9.95	0.99
4.767	9.98	1.01
4.967	9.98	1.02
5.167	9.94	0.98
5.367	9.96	1.05
5.567	10.03	1.02
5.767	9.96	1.08
5.967	9.95	1.07
6.167	9.98	1.11
6.367	9.98	1.12
6.567	9.97	1.08
6.767	9.91	1.16
6.967	9.97	1.17
7.167	9.98	1.15
7.367	9.95	1.18
7.567	9.98	1.19
7.767	9.96	1.18
7.967	9.98	1.20
8.167	9.93	1.23
8.367	9.95	1.23
8.567	9.98	1.25
8.767	10.01	1.28
8.967	9.96	1.23
9.167	10.12	1.31
9.367	9.90	1.32
9.567	9.89	1.35
9.767	9.94	1.33
9.967	9.96	1.36
10.167	9.98	1.37
10.367	9.99	1.38
10.567	9.94	1.41
10.767	9.99	1.40
10.967	9.98	1.47
11.167	9.94	1.45
11.367	9.97	1.47
11.567	10.00	1.50
11.767	9.98	1.47
11.967	9.96	1.50
12.167	9.95	1.53
12.367	9.99	1.51
12.567	9.98	1.55
12.767	9.95	1.55
12.967	10.01	1.60
13.167	9.96	1.57
13.367	9.95	1.64
13.567	9.96	1.63
13.767	10.01	1.63
13.967	9.95	1.64
14.167	10.05	1.66
14.367	9.99	1.67
14.567	9.94	1.67
14.767	9.92	1.73
14.967	9.96	1.71
15.167	9.99	1.70
15.367	9.97	1.75
15.567	9.97	1.75
15.767	9.99	1.75
15.967	9.96	1.80
16.167	9.97	1.78
16.367	9.98	1.87
16.567	9.97	1.88
16.767	9.97	1.87
16.967	9.98	1.83
17.167	9.97	1.82
17.367	9.98	1.89
17.567	10.04	1.91
17.767	10.02	1.90
17.967	9.92	1.90
18.167	9.94	1.95
18.367	10.00	1.97
18.567	9.95	1.98
18.767	9.97	2.00
18.967	9.97	2.00
19.167	9.97	1.98
19.367	9.99	2.03
19.567	9.97	2.03
19.767	9.99	2.04
19.967	9.98	2.12
20.167	9.98	2.07
20.367	9.98	2.10
20.567	9.96	2.12
20.767	9.98	2.08
20.967	9.98	2.14
21.167	9.98	2.15
21.367	10.02	2.10
21.567	9.95	2.15
21.767	10.00	2.20
21.967	10.01	2.17
22.167	9.97	2.18
22.367	9.96	2.21
22.567	9.96	2.22
22.767	9.98	2.26
22.967	9.96	2.26
23.167	10.00	2.30
23.367	9.96	2.26
23.567	10.00	2.33
23.767	10.02	2.32
23.967	9.97	2.33
24.167	9.95	2.35
24.367	9.97	2.37
24.567	10.02	2.39
24.767	9.95	2.38
24.967	9.97	2.41
25.167	9.97	2.37
25.367	9.98	2.40
25.567	9.99	2.46
25.767	10.08	2.48
25.967	9.95	2.47
26.167	10.02	2.53
26.367	9.95	2.52
26.567	9.99	2.51
26.767	9.95	2.53
26.967	9.95	2.54
27.167	9.99	2.54
27.367	9.96	2.52
27.567	10.00	2.58
27.767	9.97	2.67
27.967	9.97	2.65
28.167	9.96	2.62
28.367	10.01	2.64
28.567	9.99	2.70
28.767	10.01	2.61
28.967	9.97	2.71
29.167	9.93	2.75
29.367	10.00	2.75
29.567	9.96	2.74
29.767	9.96	2.70
29.967	9.41	2.74
30.167	5.61	2.76
