This file is for Nitrogen Flow Rate and Pressure in Calibration Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	C. C. P (mTorr)
0.000	-0.04	0.65
0.176	-0.05	0.63
0.347	-0.04	0.65
0.520	0.73	0.67
0.692	17.98	0.67
0.860	12.42	0.71
1.027	10.97	0.67
1.227	10.37	0.74
1.427	10.12	0.76
1.627	10.02	0.73
1.827	9.97	0.80
2.027	9.97	0.85
2.227	9.97	0.88
2.427	9.95	0.85
2.627	9.96	0.90
2.827	9.98	0.90
3.027	9.98	0.92
3.227	9.97	0.95
3.427	9.99	0.99
3.627	10.03	0.99
3.827	9.92	1.01
4.027	9.94	1.05
4.227	9.97	1.05
4.427	9.95	1.07
4.627	9.98	1.09
4.827	9.97	1.11
5.027	9.94	1.09
5.227	10.01	1.15
5.427	9.96	1.18
5.627	9.97	1.18
5.827	9.95	1.21
6.027	9.95	1.25
6.227	9.96	1.23
6.427	9.98	1.26
6.627	9.96	1.27
6.827	9.98	1.29
7.027	9.95	1.31
7.227	9.96	1.32
7.427	9.95	1.33
7.627	9.96	1.36
7.827	9.98	1.39
8.027	9.97	1.46
8.227	9.96	1.45
8.427	9.95	1.45
8.627	9.95	1.46
8.827	9.99	1.48
9.027	9.96	1.49
9.227	9.96	1.58
9.427	9.96	1.54
9.627	9.96	1.54
9.827	9.97	1.60
10.027	9.95	1.60
10.227	9.96	1.61
10.427	9.98	1.65
10.627	9.97	1.69
10.827	9.99	1.68
11.027	9.95	1.71
11.227	9.96	1.71
11.427	9.96	1.76
11.627	9.95	1.78
11.827	9.97	1.79
12.027	9.96	1.80
12.227	9.97	1.81
12.427	9.98	1.83
12.627	9.98	1.82
12.827	9.96	1.88
13.027	9.96	1.86
13.227	9.98	1.88
13.427	9.97	1.88
13.627	10.00	1.97
13.827	9.97	1.97
14.027	9.95	2.01
14.227	9.98	1.99
14.427	10.00	2.01
14.627	9.94	2.05
14.827	9.96	2.03
15.027	9.98	2.08
15.227	9.95	2.08
15.427	9.97	2.11
15.627	10.01	2.12
15.827	10.00	2.13
16.027	9.95	2.14
16.227	9.97	2.15
16.427	9.97	2.20
16.627	9.96	2.25
16.827	9.97	2.28
17.027	9.98	2.28
17.227	9.96	2.29
17.427	9.99	2.33
17.627	9.96	2.28
17.827	9.98	2.31
18.027	9.96	2.33
18.227	9.97	2.36
18.427	10.06	2.35
18.627	10.00	2.42
18.827	9.91	2.47
19.027	9.94	2.42
19.227	9.95	2.48
19.427	9.97	2.48
19.627	9.98	2.53
19.827	9.97	2.52
20.027	9.97	2.53
20.227	9.97	2.58
20.427	9.99	2.59
20.627	9.97	2.57
20.827	9.95	2.64
21.027	9.99	2.61
21.227	9.96	2.65
21.427	10.03	2.68
21.627	9.98	2.69
21.827	9.96	2.74
22.027	9.94	2.72
22.227	9.95	2.76
22.427	9.98	2.74
22.627	9.97	2.76
22.827	9.98	2.82
23.027	9.97	2.84
23.227	10.02	2.84
23.427	9.97	2.89
23.627	9.95	2.86
23.827	9.94	2.91
24.027	9.97	2.90
24.227	9.97	2.96
24.427	9.97	2.95
24.627	9.97	3.00
24.827	10.01	2.97
25.027	9.96	3.00
25.227	9.97	3.02
25.427	9.97	3.03
25.627	9.97	3.09
25.827	9.99	3.09
26.027	9.98	3.13
26.227	9.97	3.11
26.427	9.98	3.11
26.627	9.97	3.14
26.827	9.98	3.19
27.027	9.97	3.15
27.227	9.98	3.25
27.427	9.97	3.27
27.627	9.97	3.24
27.827	9.97	3.25
28.027	9.99	3.30
28.227	9.96	3.29
28.427	9.99	3.32
28.627	10.00	3.32
28.827	9.99	3.37
29.027	9.96	3.37
29.227	9.96	3.43
29.427	9.96	3.43
29.627	9.96	3.42
29.827	9.96	3.44
30.027	8.59	3.47
