This file is for Nitrogen Flow Rate and Pressure in Calibration Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	C. C. P (mTorr)
0.000	0.19	4.92
0.177	0.19	4.93
0.360	0.19	4.95
0.560	0.19	4.94
0.760	0.20	4.93
0.960	0.20	4.93
1.160	10.48	4.98
1.360	12.03	4.98
1.560	10.87	5.00
1.760	10.42	5.00
1.960	10.22	5.05
2.160	10.11	5.06
2.360	10.04	5.05
2.560	9.98	5.09
2.760	9.97	5.11
2.960	9.96	5.12
3.160	9.98	5.08
3.360	10.03	5.16
3.560	9.94	5.14
3.760	9.94	5.14
3.960	10.00	5.16
4.160	9.98	5.19
4.360	9.95	5.20
4.560	10.02	5.26
4.760	9.93	5.29
4.960	9.95	5.27
5.160	9.96	5.25
5.360	9.98	5.30
5.560	10.06	5.32
5.760	9.99	5.33
5.960	10.04	5.40
6.160	9.87	5.32
6.360	9.93	5.36
6.560	9.96	5.41
6.760	9.96	5.38
6.960	9.97	5.37
7.160	9.96	5.44
7.360	9.96	5.41
7.560	9.97	5.41
7.760	10.00	5.46
7.960	9.98	5.44
8.160	9.97	5.48
8.360	9.95	5.53
8.560	9.99	5.51
8.760	9.97	5.53
8.960	9.96	5.53
9.160	9.94	5.55
9.360	9.95	5.56
9.560	9.96	5.58
9.760	9.99	5.60
9.960	10.02	5.62
10.160	9.95	5.62
10.360	9.94	5.65
10.560	9.98	5.67
10.760	10.03	5.63
10.960	9.96	5.68
11.160	9.96	5.75
11.360	9.94	5.73
11.560	9.96	5.75
11.760	9.97	5.73
11.960	9.97	5.81
12.160	9.99	5.78
12.360	9.95	5.82
12.560	10.02	5.76
12.760	9.99	5.85
12.960	9.94	5.81
13.160	10.04	5.85
13.360	9.92	5.90
13.560	10.05	5.87
13.760	9.91	5.86
13.960	9.94	5.94
14.160	9.96	5.92
14.360	9.96	5.97
14.560	9.98	5.92
14.760	9.99	5.93
14.960	10.03	5.96
15.160	9.96	6.00
15.360	9.96	6.01
15.560	9.95	6.00
15.760	9.96	6.02
15.960	10.03	5.98
16.160	9.93	6.03
16.360	9.96	6.02
16.560	10.02	6.03
16.760	9.97	6.07
16.960	9.97	6.13
17.160	10.00	6.14
17.360	9.94	6.11
17.560	9.97	6.13
17.760	10.01	6.14
17.960	9.98	6.15
18.160	9.95	6.17
18.360	9.97	6.20
18.560	9.98	6.20
18.760	9.96	6.20
18.960	9.99	6.19
19.160	9.97	6.27
19.360	9.98	6.28
19.560	9.98	6.28
19.760	9.97	6.35
19.960	10.02	6.31
20.160	9.95	6.33
20.360	9.96	6.37
20.560	9.96	6.38
20.760	10.01	6.41
20.960	10.03	6.35
21.160	10.00	6.40
21.360	9.93	6.38
21.560	9.95	6.43
21.760	9.99	6.46
21.960	9.95	6.44
22.160	9.97	6.44
22.360	10.05	6.47
22.560	9.96	6.51
22.760	9.96	6.55
22.960	9.95	6.57
23.160	9.99	6.54
23.360	9.97	6.56
23.560	9.99	6.57
23.760	10.00	6.58
23.960	10.03	6.59
24.160	9.99	6.56
24.360	9.96	6.62
24.560	9.95	6.61
24.760	9.95	6.66
24.960	9.98	6.68
25.160	10.01	6.68
25.360	9.95	6.68
25.560	9.98	6.71
25.760	9.97	6.69
25.960	9.98	6.74
26.160	10.08	6.70
26.360	9.92	6.78
26.560	9.96	6.74
26.760	9.98	6.78
26.960	10.06	6.78
27.160	9.93	6.85
27.385	9.95	6.83
27.560	9.99	6.87
27.760	9.96	6.86
27.960	9.99	6.86
28.160	9.95	6.86
28.360	10.00	6.86
28.560	9.98	6.91
28.760	9.98	6.94
28.960	10.01	6.94
29.160	10.00	6.95
29.360	9.97	6.96
29.560	9.94	7.00
29.760	9.97	6.99
29.960	9.56	6.98
30.160	5.89	7.01
