This file is for Nitrogen Flow Rate and Pressure in Calibration Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	C. C. P (mTorr)
0.000	0.19	0.75
0.176	0.19	0.81
0.347	0.18	0.77
0.518	1.18	0.75
0.686	24.07	0.78
0.867	17.42	0.76
1.067	19.71	0.84
1.267	19.84	0.87
1.467	19.89	0.90
1.667	19.90	0.90
1.867	19.91	0.92
2.067	19.94	1.00
2.267	19.94	1.01
2.467	19.95	1.05
2.667	19.96	1.05
2.867	19.94	1.10
3.067	19.93	1.14
3.267	19.95	1.15
3.467	19.95	1.20
3.667	19.95	1.23
3.867	19.95	1.25
4.067	19.94	1.28
4.267	19.95	1.32
4.467	19.97	1.37
4.667	19.95	1.36
4.867	19.95	1.38
5.067	19.96	1.41
5.267	19.96	1.43
5.467	19.92	1.54
5.667	19.96	1.54
5.867	19.95	1.52
6.067	19.97	1.55
6.267	19.94	1.61
6.467	19.95	1.65
6.667	19.95	1.65
6.867	19.96	1.72
7.067	19.94	1.68
7.267	19.98	1.71
7.467	19.95	1.78
7.667	19.94	1.80
7.867	19.99	1.80
8.067	19.95	1.87
8.267	19.94	1.87
8.467	19.96	1.91
8.667	19.95	1.92
8.867	19.95	1.96
9.067	19.95	1.98
9.267	19.99	2.02
9.467	19.94	2.04
9.667	19.97	2.03
9.867	19.97	2.14
10.067	19.96	2.11
10.267	19.96	2.13
10.467	19.96	2.17
10.667	19.99	2.18
10.867	19.93	2.26
11.067	19.96	2.27
11.267	19.96	2.30
11.467	19.96	2.34
11.667	19.97	2.37
11.867	19.96	2.38
12.067	19.97	2.35
12.267	19.96	2.44
12.467	19.98	2.45
12.667	19.96	2.47
12.867	19.97	2.49
13.067	20.02	2.55
13.267	19.94	2.60
13.467	19.96	2.54
13.667	19.94	2.64
13.867	19.99	2.70
14.067	19.95	2.71
14.267	19.96	2.74
14.467	19.98	2.79
14.667	20.02	2.81
14.867	19.95	2.81
15.067	19.95	2.85
15.267	19.94	2.86
15.467	19.98	2.92
15.667	19.96	2.95
15.867	19.97	2.93
16.067	19.97	3.00
16.267	20.02	2.98
16.467	20.00	3.07
16.667	19.93	3.05
16.867	19.95	3.10
17.067	19.96	3.14
17.267	20.00	3.12
17.467	19.98	3.14
17.667	19.95	3.14
17.867	19.96	3.19
18.067	19.96	3.25
18.267	19.99	3.28
18.467	19.95	3.25
18.667	19.96	3.34
18.867	19.98	3.37
19.067	19.98	3.40
19.267	20.00	3.40
19.467	19.99	3.45
19.667	19.94	3.48
19.867	19.98	3.50
20.067	19.99	3.57
20.267	19.97	3.55
20.467	19.96	3.60
20.667	19.97	3.67
20.867	20.02	3.60
21.067	19.94	3.67
21.267	20.01	3.68
21.467	19.94	3.73
21.667	19.96	3.75
21.867	19.99	3.78
22.067	20.00	3.81
22.267	19.99	3.80
22.467	19.96	3.89
22.667	19.95	3.88
22.867	19.96	3.96
23.067	19.97	3.94
23.267	19.96	3.98
23.467	19.99	4.03
23.667	19.95	4.07
23.867	19.97	4.09
24.067	19.98	4.07
24.267	19.97	4.16
24.467	19.96	4.16
24.667	20.00	4.17
24.867	19.95	4.22
25.067	19.98	4.21
25.267	19.98	4.25
25.467	20.00	4.26
25.667	20.02	4.38
25.867	19.94	4.33
26.067	20.00	4.39
26.267	19.97	4.45
26.467	19.95	4.41
26.667	19.98	4.45
26.867	19.99	4.49
27.067	19.96	4.47
27.267	19.99	4.54
27.467	19.95	4.55
27.667	19.99	4.60
27.867	19.98	4.65
28.067	19.95	4.64
28.267	19.98	4.69
28.467	19.97	4.65
28.667	19.98	4.72
28.867	20.02	4.76
29.067	19.95	4.75
29.267	19.96	4.82
29.467	19.99	4.84
29.667	19.96	4.87
29.867	19.97	4.93
30.067	13.64	4.93
