This file is for Helium Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	He Flow (sccm)	P. C. P (mTorr)
0.000	0.95	9.66
0.179	0.94	9.91
0.348	0.95	10.03
0.518	0.94	9.86
0.715	0.94	9.91
0.915	0.95	9.62
1.115	0.94	9.86
1.315	0.93	9.82
1.515	0.94	9.82
1.715	0.94	9.91
1.915	0.94	9.74
2.115	0.94	10.23
2.315	0.94	9.91
2.515	0.93	9.82
2.715	0.94	9.58
2.915	0.93	10.03
3.115	0.93	9.74
3.315	0.94	9.91
3.515	0.93	9.66
3.715	0.94	9.95
3.915	0.93	9.78
4.115	0.93	9.66
4.315	0.94	9.70
4.515	0.94	9.86
4.715	0.93	9.66
4.915	0.94	9.66
5.115	0.92	9.82
5.315	0.92	9.95
5.515	0.92	9.78
5.715	0.93	9.70
5.915	0.93	9.91
6.115	0.93	9.82
6.315	0.93	9.66
6.515	0.92	9.66
6.715	0.93	9.82
6.915	0.92	9.86
7.115	0.92	9.86
7.315	0.92	9.78
7.515	0.94	9.54
7.715	1.00	10.03
7.915	10.74	10.65
8.115	16.88	16.44
8.315	18.89	22.35
8.515	19.59	28.02
8.715	19.85	33.40
8.915	19.96	38.17
9.115	20.02	42.48
9.315	20.05	46.47
9.515	20.06	50.16
9.715	20.10	52.92
9.915	20.10	56.04
10.115	20.10	58.83
10.315	20.11	61.13
10.515	20.11	63.06
10.715	20.12	65.16
10.915	20.13	66.97
11.115	20.13	68.45
11.315	20.13	70.13
11.515	20.13	71.61
11.715	20.15	72.68
11.915	20.12	73.50
12.115	20.13	74.53
12.315	20.13	75.59
12.515	20.14	76.54
12.715	20.14	77.15
12.915	20.14	77.65
13.115	20.14	78.55
13.315	20.14	78.59
13.515	20.15	79.17
13.715	20.13	79.37
13.915	20.15	80.03
14.115	20.16	80.36
14.315	20.15	80.65
14.515	20.13	80.93
14.715	20.15	81.10
14.915	20.15	81.39
15.115	20.15	81.63
15.315	20.15	81.80
15.515	20.15	82.08
15.715	20.14	81.92
15.915	20.15	82.00
16.115	20.15	82.78
16.315	20.15	82.41
16.515	20.15	82.62
16.715	20.14	82.78
16.915	20.16	82.66
17.115	20.15	83.15
17.315	20.15	82.99
17.515	20.15	82.99
17.715	20.16	82.99
17.915	20.14	83.56
18.115	20.15	83.15
18.315	20.15	83.23
18.515	20.15	83.07
18.715	20.15	83.56
18.915	20.16	83.32
19.115	20.16	83.44
19.315	20.15	83.11
19.515	20.16	83.28
19.715	20.15	83.60
19.915	20.16	83.56
20.115	20.16	83.40
20.315	20.16	83.28
20.515	20.16	83.44
20.715	20.15	83.69
20.915	20.16	83.44
21.115	20.16	83.40
21.315	20.15	83.56
21.515	20.17	83.81
21.715	20.16	83.56
21.915	20.16	83.65
22.115	20.16	83.69
22.315	19.23	83.60
22.515	12.94	81.55
22.715	8.62	78.30
22.915	6.22	73.91
23.115	4.88	69.60
23.315	4.09	65.41
23.515	3.62	61.46
23.715	3.34	57.85
23.915	3.13	54.60
24.115	2.98	51.31
24.315	2.85	48.28
24.515	2.73	45.44
24.715	2.62	43.26
24.915	2.51	40.92
25.115	2.41	38.91
25.315	2.31	36.81
25.515	2.21	34.88
25.715	2.12	33.12
25.915	2.04	31.64
26.115	1.96	30.12
26.315	1.88	28.68
26.515	1.80	27.53
26.715	1.73	26.46
26.915	1.67	25.19
27.115	1.61	23.96
27.315	1.56	23.09
27.515	1.50	22.07
27.715	1.46	21.65
27.915	1.43	20.63
28.115	1.39	20.01
28.315	1.35	19.56
28.515	1.31	19.27
28.715	1.30	18.20
28.915	1.27	17.38
29.115	1.24	16.89
29.315	1.23	16.48
29.515	1.20	16.27
29.715	1.19	15.53
29.915	1.17	15.33
30.115	1.15	14.96
30.315	1.13	14.59
30.515	1.12	14.51
30.715	1.11	14.01
30.915	1.10	13.69
31.115	1.09	13.56
31.315	1.08	13.32
31.515	1.07	12.90
31.715	1.06	12.41
31.915	1.06	12.37
32.115	1.05	12.37
32.315	1.04	12.25
32.515	1.04	12.00
32.715	1.03	11.92
32.915	1.02	11.67
33.115	1.02	11.55
33.315	1.02	11.22
33.515	1.02	11.34
33.715	1.01	11.26
33.915	1.01	10.97
34.115	1.01	11.02
34.315	1.00	10.85
