This file is for Helium Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	He Flow (sccm)	P. C. P (mTorr)
0.000	0.84	9.78
0.174	0.85	9.54
0.343	0.86	9.62
0.511	0.85	9.45
0.700	0.86	9.33
0.900	0.85	9.41
1.100	0.85	9.37
1.300	0.84	9.45
1.500	0.85	9.50
1.700	0.85	9.21
1.900	0.85	9.41
2.100	0.84	9.62
2.300	0.85	9.62
2.500	0.85	9.45
2.700	0.84	9.66
2.900	0.84	9.58
3.100	0.85	9.58
3.300	0.85	9.58
3.500	0.85	9.37
3.700	0.84	9.29
3.900	0.85	9.45
4.100	0.85	9.62
4.300	0.85	9.50
4.500	0.84	9.78
4.700	0.86	9.58
4.900	0.85	9.50
5.100	0.84	9.45
5.300	0.84	9.62
5.500	0.85	9.50
5.700	0.85	9.45
5.900	0.84	9.50
6.100	0.85	9.17
6.300	0.85	9.62
6.500	0.85	9.58
6.700	0.86	9.50
6.900	0.84	9.82
7.100	0.85	9.62
7.300	0.85	9.62
7.500	0.85	9.58
7.700	0.87	9.45
7.900	0.91	9.58
8.100	1.33	9.58
8.300	2.58	9.78
8.500	4.47	11.55
8.700	6.14	14.42
8.900	7.17	17.42
9.100	7.71	20.05
9.300	7.92	22.44
9.500	7.95	24.74
9.700	7.87	26.58
9.900	7.73	28.43
10.100	7.57	29.91
10.300	7.39	30.94
10.500	7.21	32.21
10.700	7.04	32.87
10.900	6.87	33.65
11.100	6.71	34.31
11.300	6.55	34.55
11.500	6.40	35.05
11.700	6.25	35.33
11.900	6.10	35.54
12.100	5.96	35.42
12.300	5.84	35.38
12.500	5.70	35.46
12.700	5.57	35.46
12.900	5.45	35.13
13.100	5.32	34.80
13.300	5.20	34.80
13.500	5.09	34.47
13.700	4.98	34.55
13.900	4.88	34.10
14.100	4.76	33.94
14.300	4.66	33.32
14.500	4.57	32.83
14.700	4.47	32.66
14.900	4.37	32.38
15.100	4.28	31.84
15.300	4.19	31.06
15.500	4.11	31.10
15.700	4.02	30.86
15.900	3.93	30.32
16.100	3.86	29.87
16.300	3.78	29.79
16.500	3.70	29.34
16.700	3.63	28.89
16.900	3.56	28.19
17.100	3.50	27.82
17.300	3.43	27.73
17.500	3.37	27.49
17.700	3.30	26.95
17.900	3.24	26.75
18.100	3.18	26.13
18.300	3.13	26.05
18.500	3.07	25.72
18.700	3.02	25.60
18.900	2.97	25.15
19.100	2.91	24.61
19.300	2.87	24.41
19.500	2.82	24.33
19.700	2.77	23.96
19.900	2.73	23.71
20.100	2.69	22.85
20.300	2.64	22.60
20.500	2.61	22.35
20.700	2.57	22.15
20.900	2.53	21.94
21.100	2.49	21.82
21.300	2.45	21.74
21.500	2.42	21.08
21.700	2.39	21.04
21.900	2.35	20.71
22.100	2.32	20.50
22.300	2.28	20.38
22.500	2.26	20.05
22.700	2.22	19.93
22.900	2.20	19.44
23.100	2.17	19.64
23.300	2.11	19.44
23.500	2.06	19.15
23.700	1.99	18.98
23.900	1.91	18.74
24.100	1.84	18.25
24.300	1.76	17.92
24.500	1.68	17.42
24.700	1.60	17.30
24.900	1.51	17.30
25.100	1.43	16.56
25.300	1.36	16.11
25.500	1.29	15.86
25.700	1.22	15.41
25.900	1.17	15.53
26.100	1.12	14.96
26.300	1.08	14.59
26.500	1.05	14.30
26.700	1.02	13.73
26.900	1.00	13.64
27.100	0.99	13.52
27.300	0.96	13.36
27.500	0.95	12.66
27.700	0.93	12.90
27.900	0.92	12.86
28.100	0.91	12.62
28.300	0.90	12.17
28.500	0.90	12.04
28.700	0.90	11.63
28.900	0.88	11.67
29.100	0.87	11.63
29.300	0.87	11.59
29.500	0.86	11.10
29.700	0.86	11.43
29.900	0.85	11.34
30.100	0.85	11.18
30.300	0.85	10.81
30.500	0.85	10.69
30.700	0.84	10.69
30.900	0.84	10.60
31.100	0.83	10.73
31.300	0.83	10.19
31.500	0.83	10.52
31.700	0.83	10.56
31.900	0.84	10.28
32.100	0.84	10.28
32.300	0.83	10.36
32.500	0.83	9.99
32.700	0.82	10.28
32.900	0.82	10.11
33.100	0.82	10.11
33.300	0.82	9.78
33.500	0.82	9.99
33.700	0.81	9.91
33.900	0.81	9.86
34.100	0.81	10.07
34.300	0.82	9.99
34.500	0.82	9.95
34.700	0.82	9.74
34.900	0.81	9.86
35.100	0.81	10.07
35.300	0.82	9.70
35.500	0.82	9.37
35.700	0.81	9.78
35.900	0.82	9.54
36.100	0.81	9.58
36.300	0.81	9.66
36.500	0.81	9.50
36.700	0.81	9.78
36.900	0.81	9.62
