This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.17	10.69
0.176	0.17	11.02
0.344	0.18	10.77
0.516	19.93	11.88
0.685	16.94	17.63
0.866	19.63	23.09
1.066	19.74	29.75
1.266	19.82	37.47
1.466	19.83	44.91
1.666	19.91	52.71
1.866	19.89	59.98
2.066	19.92	67.50
2.266	19.92	75.06
2.466	19.91	82.50
2.666	19.95	89.64
2.866	19.94	97.24
3.066	19.96	104.56
3.266	19.94	111.87
3.466	19.95	119.06
3.666	19.95	126.29
3.866	19.92	132.86
4.066	20.01	140.50
4.266	19.91	147.40
4.466	19.93	155.04
4.666	19.93	161.74
4.866	19.98	168.93
5.066	19.94	175.95
5.266	19.95	182.98
5.466	19.95	190.08
5.666	19.96	196.82
5.866	19.94	204.05
6.066	19.95	210.34
6.266	19.95	217.40
6.466	19.96	224.80
6.666	19.95	231.54
6.866	19.97	238.64
7.066	19.98	245.34
7.266	19.95	252.28
7.466	19.95	259.26
7.666	19.93	266.33
7.866	19.97	272.82
8.066	19.97	280.05
8.266	19.95	287.08
8.466	19.98	293.53
8.666	19.97	300.71
8.866	19.93	307.41
9.066	19.95	314.15
9.266	19.96	321.38
9.466	19.98	327.83
9.666	19.96	334.85
9.866	19.95	341.51
10.066	19.98	348.24
10.266	19.96	355.19
10.466	19.95	361.97
10.666	19.95	368.99
10.866	19.99	375.77
11.066	19.97	382.51
11.266	19.96	389.28
11.466	19.97	396.43
11.666	19.95	403.46
11.866	19.97	409.87
12.066	19.96	416.77
12.266	19.96	423.67
12.466	19.97	430.57
12.666	19.97	437.18
12.866	19.97	444.29
13.066	19.97	450.90
13.266	19.96	457.81
13.466	20.01	464.63
13.666	19.95	471.28
13.866	20.00	478.14
14.066	19.94	485.13
14.266	19.96	491.90
14.466	19.96	498.85
14.666	19.97	505.34
14.866	19.98	512.61
15.066	19.96	519.35
15.266	19.97	526.08
15.466	19.98	533.02
15.666	19.96	539.56
15.866	19.95	546.62
16.066	19.99	553.15
16.266	19.96	560.01
16.466	19.97	566.75
16.666	19.97	574.06
16.866	19.97	580.56
17.066	19.97	587.66
17.266	19.97	593.91
17.466	19.99	601.14
17.666	19.96	607.71
17.866	19.97	614.57
18.066	19.96	621.76
18.266	20.03	628.00
18.466	19.97	635.23
18.666	20.00	642.05
18.866	19.95	648.75
19.066	19.96	655.77
19.266	19.96	662.47
19.466	19.95	669.33
19.666	19.99	676.31
19.866	19.96	682.97
20.066	19.96	689.62
20.266	19.98	696.73
20.466	19.96	703.67
20.666	19.97	710.66
20.866	20.01	717.07
21.066	19.97	724.01
21.266	19.96	730.75
21.466	19.97	737.65
21.666	19.97	744.43
21.866	19.98	751.16
22.066	19.96	758.27
22.266	19.98	764.84
22.466	19.98	771.62
22.666	19.96	778.65
22.866	19.98	785.63
23.066	19.99	792.00
23.266	19.97	798.98
23.466	19.97	805.43
23.666	19.97	812.41
23.866	19.97	819.27
24.066	19.98	825.93
24.266	19.97	833.08
24.466	19.97	840.27
24.666	19.98	846.63
24.866	19.97	853.49
25.066	19.97	860.48
25.266	19.97	867.01
25.466	19.98	873.75
25.666	19.99	880.73
25.866	19.97	887.67
26.066	19.97	894.08
26.266	19.97	900.65
26.466	19.98	907.60
26.666	19.98	914.74
26.866	19.97	921.28
27.066	19.96	928.26
27.266	19.99	935.08
27.466	20.01	941.98
27.666	19.95	949.05
27.866	19.95	955.50
28.066	20.01	962.28
28.266	19.96	969.18
28.466	19.97	975.59
28.666	19.99	982.69
28.866	19.97	989.63
29.066	19.98	996.66
29.266	19.97	1002.99
29.466	19.96	1009.85
29.666	19.99	1016.54
29.866	19.96	1023.77
30.066	13.34	1029.52
