This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.18	9.95
0.175	0.19	9.82
0.345	0.19	9.74
0.516	5.32	9.50
0.685	21.15	12.86
0.874	18.58	18.16
1.074	19.45	23.87
1.274	19.70	29.71
1.474	19.80	35.25
1.674	19.87	41.04
1.874	19.87	46.26
2.074	19.91	50.90
2.274	19.93	55.46
2.474	19.92	59.49
2.674	19.93	63.89
2.874	19.94	67.30
3.074	19.95	71.49
3.274	19.94	74.77
3.474	19.93	77.36
3.674	19.96	80.24
3.874	19.96	82.99
4.074	19.94	85.58
4.274	19.96	87.84
4.474	19.93	90.01
4.674	19.98	92.07
4.874	19.93	93.96
5.074	20.08	95.76
5.274	19.86	97.45
5.474	19.97	98.93
5.674	19.92	100.32
5.874	19.93	101.64
6.074	19.94	103.04
6.274	19.97	104.23
6.474	19.95	105.25
6.674	19.97	105.91
6.874	19.94	107.47
7.074	19.95	108.17
7.274	19.97	108.79
7.474	19.97	109.48
7.674	19.97	110.31
7.874	19.97	110.76
8.074	20.00	111.87
8.274	19.95	112.03
8.474	19.97	112.57
8.674	19.93	112.98
8.874	19.94	114.04
9.074	19.95	114.62
9.274	19.96	114.58
9.474	19.97	115.20
9.674	19.94	115.40
9.874	19.97	115.73
10.074	20.00	116.47
10.274	20.01	116.55
10.474	19.91	116.76
10.674	19.95	116.92
10.874	19.95	117.41
11.074	20.01	117.37
11.274	19.97	117.25
11.474	19.95	117.91
11.674	19.95	118.24
11.874	19.96	118.11
12.074	19.95	118.36
12.274	19.97	118.52
12.474	19.96	118.77
12.674	19.99	119.22
12.874	19.98	119.02
13.074	20.01	119.51
13.274	19.97	119.39
13.474	19.96	119.39
13.674	19.96	119.39
13.874	19.96	119.67
14.074	19.96	119.59
14.274	19.98	119.55
14.474	19.97	120.12
14.674	19.97	120.04
14.874	19.96	120.04
15.074	19.96	120.00
15.274	19.99	120.29
15.474	19.98	120.33
15.674	20.00	120.21
15.874	19.96	120.17
16.074	19.92	120.29
16.274	19.96	120.41
16.474	19.97	120.45
16.674	19.98	120.33
16.874	19.96	120.49
17.074	19.97	120.54
17.274	19.97	120.41
17.474	19.99	120.49
17.674	19.98	120.58
17.874	19.96	120.45
18.074	20.00	120.70
18.274	19.96	120.74
18.474	19.97	120.86
18.674	20.00	120.91
18.874	19.97	120.99
19.074	19.96	120.58
19.274	20.01	120.70
19.474	19.95	120.82
19.674	19.97	120.91
19.874	19.95	120.86
20.074	19.97	121.07
20.274	19.98	121.07
20.474	19.99	120.86
20.674	19.97	121.07
20.874	19.97	121.11
21.074	19.96	120.95
21.274	19.97	121.03
21.474	20.00	120.91
21.674	19.99	120.99
21.874	19.95	121.03
22.074	19.97	121.11
22.274	19.97	121.07
22.474	19.97	120.70
22.674	19.97	120.95
22.874	19.96	120.86
23.074	20.00	120.86
23.274	19.98	121.23
23.474	19.95	121.36
23.674	19.96	121.03
23.874	19.97	120.74
24.074	19.98	120.86
24.274	19.97	120.95
24.474	20.00	120.86
24.674	19.98	120.95
24.874	19.98	121.03
25.074	19.95	120.91
25.274	19.97	120.91
25.474	19.98	120.86
25.674	19.98	121.32
25.874	19.97	121.19
26.074	19.98	120.91
26.274	19.99	120.86
26.474	19.95	120.95
26.674	19.97	120.86
26.874	19.98	121.11
27.074	19.97	121.07
27.274	19.97	120.91
27.474	19.98	120.91
27.674	19.97	121.07
27.874	19.99	121.15
28.074	19.97	121.11
28.274	19.99	120.99
28.474	19.99	121.15
28.674	19.95	120.91
28.874	19.97	120.86
29.074	19.97	120.86
29.274	19.98	121.03
29.474	19.96	120.91
29.674	19.98	120.74
29.874	19.95	120.86
30.074	13.03	120.49
