This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.16	9.70
0.173	0.16	9.50
0.341	0.18	9.70
0.536	24.37	12.00
0.736	15.47	18.00
0.936	17.81	22.15
1.136	17.86	27.49
1.336	17.88	32.71
1.536	17.91	37.55
1.736	17.90	42.07
1.936	17.92	46.34
2.136	17.96	50.82
2.336	17.97	54.35
2.536	17.93	57.89
2.736	17.93	61.50
2.936	17.95	64.46
3.136	17.95	67.34
3.336	17.95	70.29
3.536	17.95	72.96
3.736	17.98	75.06
3.936	17.94	76.91
4.136	17.93	79.33
4.336	17.97	81.59
4.536	17.95	82.99
4.736	17.94	84.38
4.936	17.97	85.90
5.136	17.94	87.26
5.336	17.97	88.66
5.536	17.94	89.93
5.736	17.96	91.33
5.936	17.97	92.27
6.136	17.95	93.09
6.336	17.96	94.08
6.536	17.95	95.11
6.736	17.96	96.34
6.936	17.96	96.59
7.136	17.97	97.08
7.336	18.04	98.06
7.536	19.04	98.76
7.736	19.58	99.79
7.936	19.80	100.45
8.136	19.87	101.97
8.336	19.92	102.83
8.536	19.93	103.86
8.736	19.95	104.43
8.936	19.95	104.88
9.136	19.98	105.62
9.336	19.95	106.57
9.536	19.95	107.39
9.736	19.95	107.80
9.936	19.96	108.54
10.136	19.98	108.66
10.336	19.97	109.53
10.536	19.95	109.94
10.736	19.96	110.68
10.936	19.98	110.64
11.136	19.97	111.42
11.336	19.98	111.66
11.536	19.96	112.11
11.736	19.95	112.32
11.936	19.95	112.61
12.136	20.00	112.94
12.336	19.94	113.39
12.536	19.99	113.26
12.736	19.99	113.88
12.936	19.95	113.84
13.136	19.96	114.00
13.336	19.97	114.33
13.536	19.96	114.62
13.736	19.98	114.33
13.936	19.98	114.83
14.136	19.95	114.74
14.336	19.96	115.24
14.536	19.98	115.20
14.736	19.96	115.65
14.936	19.96	114.91
15.136	19.97	115.48
15.336	19.97	115.52
15.536	19.97	115.48
15.736	19.99	115.48
15.936	19.97	115.65
16.136	19.95	116.10
16.336	19.99	116.10
16.536	19.96	116.10
16.736	19.96	116.14
16.936	19.96	116.39
17.136	19.97	116.26
17.336	19.98	116.18
17.536	19.96	116.39
17.736	19.97	116.10
17.936	19.96	116.30
18.136	19.97	116.30
18.336	20.01	116.47
18.536	19.94	116.67
18.736	19.98	116.47
18.936	20.00	116.39
19.136	19.94	116.51
19.336	19.96	116.39
19.536	19.96	116.76
19.736	19.97	116.84
19.936	19.98	116.80
20.136	19.96	116.63
20.336	19.97	116.96
20.536	19.97	116.80
20.736	19.98	116.84
20.936	19.97	116.55
21.136	19.97	116.92
21.336	19.97	116.80
21.536	19.96	116.30
21.736	19.97	116.84
21.936	19.98	116.76
22.136	19.99	117.17
22.336	19.83	116.92
22.536	18.76	116.84
22.736	18.30	116.02
22.936	18.12	116.02
23.136	18.05	115.40
23.336	18.00	114.83
23.536	17.99	114.33
23.736	17.99	114.13
23.936	17.99	113.47
24.136	17.98	113.39
24.336	17.99	113.06
24.536	17.97	112.57
24.736	17.97	112.11
24.936	17.97	111.99
25.136	18.01	111.66
25.336	18.01	111.54
25.536	17.94	111.21
25.736	17.96	111.00
25.936	18.00	110.76
26.136	17.96	110.64
26.336	17.97	110.10
26.536	18.01	110.02
26.736	17.95	109.90
26.936	17.96	109.90
27.136	17.98	109.48
27.336	17.99	109.48
27.536	17.96	109.28
27.736	17.99	109.28
27.936	17.99	108.83
28.136	17.97	108.99
28.336	17.97	108.83
28.536	17.97	109.16
28.736	17.98	108.62
28.936	17.97	109.16
29.136	17.98	108.75
29.336	17.97	108.46
29.536	17.99	108.50
29.736	17.97	108.46
29.936	17.96	108.79
30.136	17.99	107.72
30.336	17.99	108.29
30.536	17.98	107.51
30.736	17.96	108.29
30.936	17.97	108.13
31.136	17.98	108.29
31.336	17.98	108.42
31.536	18.01	107.88
31.736	17.95	108.13
31.936	17.98	107.76
32.136	17.97	107.80
32.336	17.99	107.88
32.536	17.98	107.80
32.736	17.98	107.96
32.936	17.98	108.01
33.136	17.96	107.76
33.336	17.97	107.60
33.536	17.98	108.17
33.736	17.98	107.96
33.936	17.99	107.84
34.136	17.96	107.72
34.336	17.98	108.05
34.536	18.05	107.84
34.736	17.93	107.51
34.936	18.00	107.72
35.136	17.96	107.84
35.336	17.97	107.64
35.536	17.97	107.84
35.736	17.98	107.68
35.936	17.97	107.76
36.136	18.00	107.64
36.336	18.01	107.72
36.536	17.95	107.64
36.736	17.97	107.88
36.936	17.97	107.88
37.136	18.00	107.84
37.336	18.65	107.68
37.536	19.45	108.05
37.736	19.80	108.58
37.936	19.90	108.91
38.136	19.92	109.28
38.336	19.94	109.98
38.536	19.94	110.31
38.736	19.97	110.47
38.936	19.96	111.00
39.136	19.97	111.13
39.336	19.97	111.58
39.536	19.97	111.91
39.736	19.98	112.20
39.936	20.01	112.61
40.136	19.95	112.94
40.336	19.97	113.31
40.536	19.97	113.51
40.736	19.97	113.55
40.936	19.99	113.84
41.136	19.96	113.76
41.336	19.97	114.41
41.536	19.97	114.66
41.736	19.98	114.54
41.936	19.98	114.87
42.136	19.98	115.20
42.336	19.97	114.83
42.536	20.02	115.15
42.736	19.95	115.48
42.936	19.96	115.28
43.136	20.00	115.24
43.336	19.98	115.73
43.536	19.97	115.56
43.736	19.96	115.44
43.936	19.97	115.61
44.136	19.97	115.65
44.336	19.97	116.06
44.536	19.98	116.14
44.736	19.97	116.06
44.936	19.98	115.93
45.136	19.97	116.14
45.336	19.98	116.10
45.536	19.99	116.02
45.736	19.99	116.22
45.936	19.98	116.14
46.136	19.98	116.51
46.336	19.96	116.39
46.536	19.97	116.59
46.736	20.02	116.43
46.936	19.96	116.30
47.136	19.98	116.47
47.336	19.96	116.30
47.536	20.02	116.63
47.736	19.97	116.51
47.936	19.97	116.30
48.136	19.97	116.26
48.336	19.98	116.47
48.536	19.97	116.43
48.736	19.98	116.39
48.936	20.00	116.47
49.136	19.98	116.47
49.336	19.97	116.67
49.536	19.98	116.55
49.736	19.96	116.92
49.936	19.98	116.63
50.136	19.99	116.47
50.336	19.98	116.39
50.536	19.99	116.67
50.736	20.02	116.67
50.936	19.95	117.17
51.136	19.97	116.84
51.336	19.96	116.47
51.536	19.99	116.59
51.736	19.97	117.04
51.936	19.98	116.51
52.136	19.98	116.80
52.336	19.18	116.80
52.536	18.46	116.63
52.736	18.20	115.89
52.936	18.05	115.56
53.136	18.01	114.95
53.336	18.00	114.54
53.536	18.00	113.80
53.736	18.01	113.88
53.936	17.98	112.94
54.136	18.01	112.89
54.336	17.96	112.48
54.536	17.96	111.91
54.736	17.98	111.42
54.936	17.97	111.79
55.136	17.98	111.29
55.336	17.98	110.80
55.536	17.98	110.72
55.736	18.01	110.47
55.936	17.95	110.22
56.136	17.98	110.39
56.336	17.97	109.77
56.536	17.98	109.73
56.736	17.98	109.53
56.936	17.97	109.44
57.136	17.98	109.57
57.336	17.98	109.03
57.536	17.96	109.03
57.736	18.01	108.83
57.936	17.95	108.79
58.136	18.02	108.87
58.336	17.95	108.33
58.536	17.96	108.79
58.736	17.96	108.83
58.936	17.97	108.29
59.136	17.98	108.33
59.336	17.97	108.33
59.536	17.98	108.42
59.736	18.00	108.46
59.936	17.98	108.17
60.136	18.00	107.88
60.336	17.96	107.84
60.536	17.99	107.84
60.736	17.98	108.01
60.936	17.98	108.01
61.136	17.98	107.96
61.336	17.98	108.01
61.536	17.98	107.96
61.736	17.97	107.76
61.936	17.97	108.05
62.136	17.97	107.96
62.336	17.97	107.72
62.536	18.04	108.01
62.736	17.98	107.51
62.936	17.97	107.35
63.136	17.98	107.92
63.336	17.98	107.47
63.536	17.97	107.72
63.736	17.97	107.35
63.936	17.98	107.72
64.136	17.98	107.60
64.336	17.98	107.60
64.536	17.97	107.60
64.736	17.97	107.72
64.936	18.00	107.60
65.136	17.99	107.39
65.336	17.97	107.72
65.536	17.98	107.84
65.736	17.99	107.72
65.936	17.99	107.43
66.136	17.98	107.23
66.336	17.97	107.47
66.536	17.99	107.64
66.736	17.98	107.23
66.936	17.98	107.47
67.136	18.20	107.39
67.336	19.24	107.76
67.536	19.68	107.96
67.736	19.85	108.66
67.936	19.96	109.16
68.136	19.93	109.57
68.336	19.95	109.94
68.536	19.97	110.72
68.736	19.96	110.43
68.936	19.98	111.17
69.136	20.01	111.37
69.336	19.96	111.62
69.536	19.95	112.52
69.736	19.97	112.44
69.936	19.99	112.57
70.136	19.98	112.85
70.336	19.98	112.77
70.536	19.99	112.98
70.736	19.96	113.80
70.936	19.98	113.92
71.136	19.99	114.09
71.336	19.98	114.09
71.536	19.96	114.33
71.736	19.98	114.58
71.936	20.01	114.50
72.136	19.97	114.95
72.336	19.97	114.95
72.536	19.96	115.15
72.736	19.98	115.44
72.936	19.98	115.20
73.136	19.98	115.24
73.336	19.98	115.52
73.536	20.01	115.89
73.736	19.96	115.61
73.936	19.96	115.65
74.136	19.98	115.44
74.336	20.02	115.85
74.536	19.97	115.73
74.736	19.96	115.69
74.936	19.98	115.98
75.136	20.01	116.06
75.336	20.02	116.02
75.536	19.94	115.93
75.736	19.95	116.14
75.936	19.97	116.18
76.136	19.97	116.06
76.336	19.98	116.22
76.536	19.98	115.93
76.736	19.99	116.02
76.936	19.98	116.47
77.136	19.99	116.22
77.336	19.99	116.14
77.536	19.96	116.39
77.736	19.99	116.18
77.936	20.01	116.39
78.136	20.01	116.47
78.336	19.96	116.39
78.536	19.96	116.51
78.736	19.98	116.63
78.936	19.98	116.55
79.136	19.96	116.72
79.336	19.98	116.10
79.536	19.98	116.47
79.736	19.97	116.26
79.936	19.97	116.80
80.136	19.98	116.26
80.336	19.98	116.55
80.536	19.99	116.35
80.736	19.99	116.55
80.936	19.97	116.72
81.136	19.97	116.67
81.336	19.98	116.51
81.536	19.97	116.67
81.736	19.99	116.59
81.936	19.98	116.63
82.136	19.75	116.59
82.336	18.70	116.22
82.536	18.28	115.77
82.736	18.11	115.28
82.936	18.04	114.99
83.136	18.02	114.33
83.336	18.03	114.09
83.536	17.96	113.63
83.736	18.00	113.18
83.936	17.99	112.89
84.136	17.96	112.73
84.336	18.03	112.20
84.536	17.96	111.79
84.736	17.97	111.37
84.936	18.00	111.50
85.136	17.96	110.96
