This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.18	9.66
0.188	0.19	9.78
0.388	0.18	9.74
0.589	6.10	9.54
0.788	17.44	13.69
0.988	17.37	19.15
1.188	17.64	25.31
1.388	17.77	32.54
1.588	17.85	39.03
1.788	17.89	45.89
1.988	17.91	52.88
2.188	17.93	59.53
2.388	17.93	66.88
2.588	18.86	73.54
2.788	19.48	80.81
2.988	19.74	88.16
3.188	19.89	95.11
3.388	19.91	102.62
3.588	19.90	109.57
3.788	19.97	116.67
3.988	19.94	124.11
4.188	19.93	131.18
4.388	19.94	138.36
4.588	19.94	145.39
4.788	19.98	152.37
4.988	19.92	159.40
5.188	19.96	166.75
5.388	19.94	173.41
5.588	19.95	180.51
5.788	19.96	187.58
5.988	19.95	194.40
6.188	19.96	201.67
6.388	19.95	208.57
6.588	19.96	215.27
6.788	19.95	222.37
6.988	19.95	229.40
7.188	19.96	236.42
7.388	19.95	243.33
7.588	19.14	249.98
7.788	18.45	256.47
7.988	18.18	262.55
8.188	18.04	268.80
8.388	17.99	275.37
8.588	18.01	281.16
8.788	17.96	287.45
8.988	17.97	293.73
9.188	17.98	299.61
9.388	18.02	306.30
9.588	18.00	312.14
9.788	17.93	318.67
9.988	17.96	324.66
10.188	17.96	330.70
10.388	17.98	336.91
10.588	17.95	343.07
10.788	17.97	349.15
10.988	17.96	355.39
11.188	17.97	361.27
11.388	17.98	367.84
11.588	17.96	373.63
11.788	17.98	380.08
11.988	17.97	386.08
12.188	18.02	392.20
12.388	17.94	398.12
12.588	18.59	403.99
12.788	19.42	411.18
12.988	19.75	417.55
13.188	19.88	424.70
13.388	19.91	431.51
13.588	19.97	438.21
13.788	19.95	444.66
13.988	19.95	451.97
14.188	20.01	458.26
14.388	19.95	465.57
14.588	19.95	472.18
14.788	19.96	479.13
14.988	19.98	487.30
15.252	19.95	497.45
15.537	19.96	504.93
15.707	19.96	510.39
15.875	19.98	516.43
16.044	19.98	522.22
16.214	19.97	527.93
16.388	19.96	534.05
16.588	19.98	540.91
16.788	19.95	547.65
16.988	19.97	554.30
17.188	19.98	561.29
17.388	19.98	567.33
17.588	19.62	574.72
17.788	18.62	581.09
17.988	18.25	587.74
18.188	18.12	593.95
18.388	18.02	600.19
18.588	17.98	606.15
18.788	18.06	612.31
18.988	17.98	618.76
19.188	17.98	624.68
19.388	17.96	630.88
19.588	17.95	637.00
19.788	17.98	643.04
19.988	17.97	649.04
20.188	17.99	655.03
20.388	17.97	661.20
20.588	18.01	667.52
20.788	17.97	673.68
20.988	17.96	679.64
21.188	17.95	685.97
21.388	17.97	691.76
21.588	17.98	698.13
21.788	17.98	704.45
21.988	17.96	710.33
22.188	17.99	716.74
22.388	18.00	722.36
22.588	18.15	728.98
22.788	19.16	735.31
22.988	19.68	741.92
23.188	19.80	748.53
23.388	19.90	755.39
23.588	19.94	762.30
23.788	19.94	769.07
23.988	19.97	775.89
24.188	20.01	782.55
24.388	19.94	789.61
24.588	19.98	796.31
24.788	19.98	803.17
24.988	19.97	809.87
25.188	19.97	816.64
25.388	19.97	823.30
25.588	19.98	830.61
25.788	19.98	837.47
25.988	19.95	844.33
26.188	19.98	850.82
26.388	19.97	857.77
26.588	19.97	864.38
26.788	19.98	871.12
26.988	19.98	877.98
27.188	19.98	884.80
27.388	19.97	891.45
27.588	19.95	898.64
27.788	18.89	905.05
27.988	18.33	911.62
28.188	18.18	917.54
28.388	18.03	923.66
28.588	18.01	930.31
28.788	18.01	936.27
28.988	17.98	942.64
29.188	17.97	948.84
29.388	17.99	954.55
29.588	17.98	960.76
29.788	17.99	967.00
29.988	17.99	972.92
30.188	15.52	979.08
