This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.24	10.19
0.174	0.25	9.91
0.342	0.25	9.91
0.509	0.24	9.95
0.678	0.24	10.03
0.858	0.24	10.03
1.058	0.24	9.95
1.258	0.25	9.99
1.458	0.24	9.95
1.658	0.24	9.82
1.858	0.24	10.03
2.058	0.24	10.03
2.258	0.24	10.11
2.458	0.24	9.82
2.658	0.24	9.99
2.858	0.24	10.11
3.058	0.24	9.95
3.258	0.24	9.74
3.458	0.24	10.28
3.658	8.50	10.19
3.858	12.41	12.99
4.058	11.04	16.48
4.258	10.58	19.97
4.458	10.23	23.17
4.658	10.07	26.09
4.858	10.01	28.97
5.058	9.98	31.35
5.258	9.99	33.98
5.458	9.96	36.69
5.658	10.04	38.58
5.858	9.94	40.96
6.058	10.01	42.65
6.258	9.93	44.70
6.458	10.07	46.22
6.658	9.91	47.62
6.858	9.92	49.01
7.058	9.95	50.37
7.258	10.01	51.48
7.458	9.67	52.96
7.658	6.01	53.62
7.858	3.38	52.67
8.058	2.33	51.48
8.258	1.91	49.75
8.458	1.75	48.48
8.658	1.70	46.88
8.858	1.70	45.48
9.058	1.69	43.96
9.258	1.68	42.36
9.458	1.65	41.21
9.658	1.62	39.94
9.858	1.58	38.62
10.058	1.53	37.43
10.258	1.48	36.24
10.458	1.43	35.42
10.658	1.38	34.60
10.858	1.33	33.20
11.058	1.27	32.25
11.258	1.23	31.47
11.458	1.17	30.49
11.658	1.13	29.58
11.858	1.08	28.93
12.058	1.03	28.23
12.258	1.00	27.12
12.458	0.96	26.67
12.658	0.91	26.21
12.858	0.88	25.60
13.058	0.85	24.94
13.258	0.82	24.28
13.458	0.78	23.50
13.658	1.99	23.26
13.858	13.39	23.46
14.058	10.99	26.46
14.258	10.51	29.17
14.458	10.18	31.68
14.658	10.02	34.60
14.858	10.07	36.48
15.058	9.95	38.70
15.258	9.95	40.80
15.458	9.92	42.73
15.658	9.95	45.07
15.858	9.93	46.14
16.058	9.98	47.86
16.258	9.96	49.22
16.458	9.95	50.74
16.658	9.97	51.81
16.858	10.05	53.16
17.058	9.93	54.19
17.258	9.94	55.14
17.458	10.06	56.08
17.658	7.47	56.53
17.858	4.09	56.33
18.058	2.63	55.26
18.258	2.03	53.57
18.458	1.81	51.89
18.658	1.73	50.49
18.858	1.72	48.40
19.058	1.71	46.55
19.258	1.70	45.19
19.458	1.68	43.80
19.658	1.65	42.24
19.858	1.61	41.09
20.058	1.56	39.77
20.258	1.52	38.62
20.458	1.47	37.22
20.658	1.42	35.99
20.858	1.36	35.13
21.058	1.30	34.06
21.258	1.25	33.40
21.458	1.20	32.25
21.658	1.15	31.64
21.858	1.10	30.28
22.058	1.06	29.54
22.258	1.02	28.89
22.458	0.98	28.35
22.658	0.94	27.24
22.858	0.90	26.75
23.058	0.87	26.13
23.258	0.84	25.27
23.458	0.80	24.74
23.658	0.79	24.04
23.858	11.13	23.91
24.058	11.28	26.42
24.258	10.71	28.43
24.458	10.37	31.64
24.658	10.11	34.06
24.858	10.02	36.20
25.058	10.02	38.79
25.258	9.93	40.63
25.458	9.94	43.02
25.658	9.96	44.58
25.858	9.98	45.97
26.058	9.95	47.74
26.258	9.98	48.97
26.458	10.02	50.49
26.658	9.94	52.05
26.858	9.95	53.25
27.058	9.94	54.07
27.258	10.02	55.22
27.458	9.97	56.16
27.658	9.28	56.82
27.858	5.32	56.94
28.058	3.14	56.24
28.258	2.25	54.56
28.458	1.88	53.12
28.658	1.77	51.27
28.858	1.73	49.67
29.058	1.71	47.95
29.258	1.71	46.02
29.458	1.69	44.99
29.658	1.67	43.30
29.858	1.64	41.95
30.058	1.59	40.51
