This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.30	14.84
0.173	0.29	15.00
0.343	0.30	14.47
0.515	0.29	14.34
0.686	0.29	14.30
0.886	0.29	14.14
1.086	0.29	13.81
1.286	0.29	14.10
1.486	0.29	13.97
1.686	0.29	13.64
1.886	0.29	13.56
2.086	0.28	13.23
2.286	0.29	13.15
2.486	0.28	13.19
2.686	0.28	12.99
2.886	0.28	12.82
3.086	12.23	13.03
3.286	17.42	18.00
3.486	19.25	22.68
3.686	19.61	28.84
3.886	19.77	34.39
4.086	19.83	39.98
4.286	19.89	44.58
4.486	19.88	49.59
4.686	19.92	53.94
4.886	19.93	58.59
5.086	19.93	62.41
5.286	19.95	66.19
5.486	19.99	69.80
5.686	19.92	73.05
5.886	19.94	76.21
6.086	19.91	78.72
6.286	19.95	81.51
6.486	19.95	83.81
6.686	19.95	86.11
6.886	19.99	88.70
7.086	19.92	90.38
7.286	20.01	91.66
7.486	19.40	93.63
7.686	10.74	94.41
7.886	5.00	92.27
8.086	2.75	89.23
8.286	1.93	85.33
8.486	1.72	81.92
8.686	1.74	78.76
8.886	1.84	75.47
9.086	1.92	72.55
9.286	1.99	69.39
9.486	2.03	66.35
9.686	2.04	64.21
9.886	2.03	61.38
10.086	2.00	59.37
10.286	1.95	56.74
10.486	1.90	54.64
10.686	1.84	52.96
10.886	1.77	50.62
11.086	1.70	48.77
11.286	1.63	47.25
11.486	1.57	45.56
11.686	1.50	43.96
11.886	1.43	42.65
12.086	1.37	40.88
12.286	1.31	39.85
12.486	1.25	38.46
12.686	1.20	37.31
12.886	1.15	36.40
13.086	1.26	35.13
13.286	20.85	35.91
13.486	18.48	39.32
13.686	19.34	44.17
13.886	19.63	48.40
14.086	19.79	53.12
14.286	19.84	57.19
14.486	19.88	61.17
14.686	19.90	65.08
14.886	19.90	68.57
15.086	19.92	71.77
15.286	19.93	75.31
15.486	19.93	77.94
15.686	19.95	80.61
15.886	19.93	82.91
16.086	19.96	85.41
16.286	19.93	87.79
16.486	19.95	89.89
16.686	19.97	91.49
16.886	19.93	93.34
17.086	19.96	95.23
17.286	19.94	96.30
17.486	19.98	97.90
17.686	14.73	99.09
17.886	6.74	97.45
18.086	3.42	94.12
18.286	2.17	90.55
18.486	1.78	87.01
18.686	1.73	83.44
18.886	1.81	79.66
19.086	1.90	76.37
19.286	1.98	73.42
19.486	2.03	70.75
19.686	2.05	67.50
19.886	2.05	64.83
20.086	2.02	61.95
20.286	1.98	59.86
20.486	1.93	57.35
20.686	1.87	55.51
20.886	1.80	53.41
21.086	1.73	51.52
21.286	1.67	49.67
21.486	1.60	47.95
21.686	1.53	46.06
21.886	1.46	44.58
22.086	1.40	43.14
22.286	1.35	41.46
22.486	1.28	40.18
22.686	1.22	38.87
22.886	1.18	37.80
23.086	1.12	36.77
23.286	15.79	35.75
23.486	17.40	38.91
23.686	19.04	42.69
23.886	19.52	47.78
24.086	19.72	52.30
24.286	19.88	56.70
24.486	19.88	60.72
24.686	19.85	64.01
24.886	20.01	67.99
25.086	19.84	71.07
25.286	19.90	74.24
25.486	19.91	77.28
25.686	19.93	80.24
25.886	19.96	82.66
26.086	19.92	84.92
26.286	19.96	87.18
26.486	19.94	89.11
26.686	19.95	91.25
26.886	19.95	92.97
27.086	19.98	94.57
27.286	19.94	96.59
27.486	19.96	97.90
27.686	18.13	99.26
27.886	9.02	98.43
28.086	4.32	95.76
28.286	2.50	92.11
28.486	1.86	88.49
28.686	1.73	84.63
28.886	1.77	81.18
29.086	1.87	78.14
29.286	1.95	74.77
29.486	2.02	71.65
29.686	2.05	68.82
29.886	2.05	66.10
30.086	2.03	63.23
