This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.19	9.25
0.175	0.19	9.17
0.346	0.19	9.00
0.513	0.19	9.04
0.711	0.19	9.21
0.911	0.19	9.29
1.111	0.19	9.13
1.311	0.18	8.84
1.511	0.19	9.00
1.711	0.20	9.17
1.911	0.19	8.80
2.111	0.19	8.96
2.311	0.19	8.88
2.511	0.20	8.96
2.711	2.93	9.08
2.911	7.02	9.58
3.111	5.90	11.80
3.311	4.89	13.52
3.511	4.38	14.84
3.711	4.17	16.31
3.911	4.09	17.34
4.111	4.07	18.57
4.311	4.05	19.77
4.511	4.03	20.79
4.711	4.03	21.74
4.911	4.02	22.23
5.111	4.03	22.93
5.311	4.03	24.12
5.511	4.02	24.74
5.711	4.01	25.19
5.911	4.01	26.13
6.111	4.01	26.54
6.311	4.00	26.83
6.511	4.01	27.45
6.711	4.01	28.19
6.911	4.01	28.10
7.111	4.01	28.89
7.311	4.00	28.35
7.511	4.00	29.25
7.711	3.99	29.87
7.911	3.98	30.12
8.111	3.98	30.12
8.311	3.98	30.57
8.511	3.99	30.69
8.711	3.99	30.69
8.911	3.99	30.61
9.111	3.99	31.02
9.311	3.99	31.35
9.511	3.99	31.47
9.711	3.99	31.19
9.911	3.99	31.68
10.111	3.98	31.76
10.311	3.98	31.88
10.511	3.98	32.25
10.711	3.98	32.58
10.911	3.99	32.25
11.111	3.98	32.42
11.311	3.98	32.25
11.511	3.97	32.66
11.711	3.99	32.58
11.911	3.99	32.95
12.111	4.00	32.71
12.311	3.99	33.08
12.512	4.00	33.08
12.711	3.99	32.75
12.911	3.99	33.16
13.111	3.99	33.16
13.311	3.99	33.08
13.511	3.99	32.95
13.711	3.99	33.12
13.911	3.98	33.53
14.111	3.99	33.36
14.311	3.99	33.28
14.511	3.99	33.20
14.711	4.00	33.20
14.911	3.98	33.61
15.111	3.99	33.28
15.311	3.99	33.40
15.511	3.98	33.49
15.711	3.98	33.69
15.911	3.98	33.69
16.111	3.98	33.94
16.311	3.98	33.69
16.511	3.98	33.53
16.711	4.00	33.65
16.911	3.99	33.36
17.111	3.98	33.69
17.311	3.98	33.73
17.511	3.99	33.98
17.711	4.00	33.49
17.911	3.97	33.24
18.111	3.97	33.77
18.311	3.99	33.61
18.511	3.98	33.73
18.711	3.99	33.81
18.911	3.99	33.81
19.111	3.99	33.94
19.311	3.98	33.86
19.511	3.98	33.77
19.711	3.98	33.73
19.911	3.99	33.90
20.111	3.98	33.86
20.311	3.98	33.90
20.511	4.00	34.02
20.711	3.98	34.10
20.911	3.98	33.94
21.111	3.98	34.02
21.311	3.97	33.98
21.511	3.98	34.14
21.711	3.99	33.77
21.911	3.99	33.65
22.111	3.98	34.06
22.311	3.99	33.90
22.511	3.99	33.90
22.711	3.99	33.77
22.911	3.99	33.86
23.111	3.98	34.18
23.311	3.98	33.81
23.511	3.98	34.14
23.711	3.98	33.90
23.911	3.98	33.98
24.111	3.98	34.06
24.311	3.99	34.06
24.511	3.98	33.98
24.711	3.99	34.02
24.911	4.02	34.02
25.111	3.97	34.10
25.311	3.98	34.02
25.511	3.97	34.06
25.711	3.98	34.31
25.911	3.98	33.98
26.111	3.97	34.02
26.311	3.98	34.10
26.511	3.98	33.98
26.711	3.99	34.27
26.911	3.99	34.02
27.111	3.99	34.02
27.311	3.99	34.02
27.511	4.00	33.94
27.711	3.99	33.77
27.911	3.98	34.02
28.111	3.99	34.02
28.311	3.97	34.14
28.511	3.98	33.81
28.711	3.98	34.18
28.911	3.99	33.94
29.111	3.98	33.94
29.311	3.98	33.90
29.511	3.99	33.86
29.711	3.98	34.06
29.911	3.96	33.94
30.111	2.96	33.73
