This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.31	13.60
0.175	0.30	13.15
0.344	0.31	13.23
0.531	0.30	13.07
0.731	1.99	13.19
0.931	16.26	14.92
1.131	13.72	18.57
1.331	13.91	22.60
1.531	13.90	26.63
1.731	13.89	30.45
1.931	13.92	34.39
2.131	13.92	38.05
2.331	13.95	40.80
2.531	13.95	44.37
2.731	13.96	47.08
2.931	13.95	50.29
3.131	13.99	52.59
3.331	13.94	55.05
3.531	13.98	57.39
3.731	13.97	59.28
3.931	13.97	61.26
4.131	13.93	62.49
4.331	13.96	64.75
4.531	13.97	65.69
4.731	13.96	67.34
4.931	13.94	68.57
5.131	13.98	69.55
5.331	13.95	71.03
5.531	13.95	71.81
5.731	13.97	72.92
5.931	13.96	73.83
6.131	13.98	74.77
6.331	14.01	75.39
6.531	13.96	76.05
6.731	13.94	76.95
6.931	13.95	77.57
7.131	13.99	78.18
7.331	13.98	78.80
7.531	13.93	79.37
7.731	13.96	79.70
7.931	13.96	80.03
8.131	14.00	80.81
8.331	13.96	80.89
8.531	13.99	81.18
8.731	13.95	81.67
8.931	13.97	82.04
9.131	13.99	82.25
9.331	13.97	82.66
9.531	13.98	82.62
9.731	13.97	82.99
9.931	13.94	83.48
10.131	13.99	83.60
10.331	13.93	83.65
10.531	14.00	83.85
10.731	13.98	84.10
10.931	14.20	84.38
11.131	13.82	84.63
11.331	13.91	84.67
11.531	13.95	85.00
11.731	13.96	85.37
11.931	13.97	85.25
12.131	13.96	85.12
12.331	14.00	84.80
12.531	14.00	85.70
12.731	13.93	85.95
12.931	13.96	85.62
13.131	13.97	86.03
13.331	14.01	85.82
13.531	13.96	85.99
13.731	13.95	85.58
13.931	13.98	86.23
14.131	13.98	86.07
14.331	14.00	86.11
14.531	13.96	85.90
14.731	13.97	86.19
14.931	14.01	86.27
15.131	13.95	86.15
15.331	13.96	86.48
15.531	13.98	85.95
15.731	13.97	86.07
15.931	13.96	86.64
16.131	14.02	86.32
16.331	14.10	86.32
16.531	13.92	86.77
16.731	13.94	86.56
16.931	13.97	86.56
17.131	13.97	86.69
17.331	13.96	86.69
17.531	13.99	86.60
17.731	13.96	86.44
17.931	13.98	86.64
18.131	14.02	86.93
18.331	13.96	87.06
18.531	13.96	86.77
18.731	13.99	86.60
18.931	14.02	86.73
19.131	13.95	86.97
19.331	13.99	86.89
19.531	13.95	86.64
19.731	13.99	86.93
19.931	13.99	86.93
20.131	13.96	86.93
20.331	13.99	86.85
20.531	13.95	86.89
20.731	13.98	86.81
20.931	13.97	86.64
21.131	14.02	86.77
21.331	13.99	86.77
21.531	13.99	86.48
21.731	13.99	86.85
21.931	13.96	86.93
22.131	13.96	86.77
22.331	14.00	86.93
22.531	14.00	87.06
22.731	13.98	87.01
22.931	13.96	87.14
23.131	13.98	86.89
23.331	13.98	86.81
23.531	13.97	87.01
23.731	13.97	86.89
23.931	14.00	87.01
24.131	13.97	86.93
24.331	13.98	86.97
24.531	13.96	86.93
24.731	13.97	86.97
24.931	13.97	87.01
25.131	13.99	86.97
25.331	13.99	87.18
25.531	14.01	86.64
25.731	13.96	86.81
25.931	13.98	86.77
26.131	13.99	87.01
26.331	14.05	87.01
26.531	13.94	86.85
26.731	13.95	86.85
26.931	13.97	86.73
27.131	13.99	87.10
27.331	14.00	87.06
27.531	13.98	87.51
27.731	13.97	86.89
27.931	14.01	86.93
28.131	13.97	86.93
28.331	14.00	86.93
28.531	13.95	87.06
28.731	13.99	86.81
28.931	13.97	87.06
29.131	13.96	87.01
29.331	14.00	87.26
29.531	13.96	87.14
29.731	13.96	86.81
29.931	13.52	86.93
30.131	8.05	86.15
