Mass (amu)	P (Torr)
0	0.0E+0
1	2.6E-7
2	2.8E-8
3	9.3E-9
4	9.0E-7
5	3.0E-10
6	0.0E+0
7	0.0E+0
8	0.0E+0
9	0.0E+0
10	0.0E+0
11	0.0E+0
12	1.8E-9
13	3.0E-10
14	2.4E-9
15	3.7E-9
16	2.5E-8
17	9.0E-8
18	3.9E-7
19	3.0E-10
20	9.0E-10
21	1.0E-10
22	3.0E-10
23	1.0E-10
24	0.0E+0
25	4.0E-10
26	2.0E-9
27	3.5E-8
28	1.0E-9
29	6.7E-9
30	2.0E-10
31	3.3E-8
32	1.5E-8
33	2.0E-10
34	1.0E-10
35	3.0E-10
36	1.0E-10
37	1.0E-10
38	3.0E-10
39	7.0E-10
40	6.0E-10
41	9.0E-10
42	2.7E-9
43	3.6E-8
44	7.0E-10
45	5.0E-10
46	0.0E+0
47	1.0E-10
48	0.0E+0
49	0.0E+0
50	0.0E+0
