Mass (amu)	P (Torr)
0	0.0E+0
1	1.6E-7
2	3.4E-8
3	1.0E-10
4	0.0E+0
5	0.0E+0
6	0.0E+0
7	0.0E+0
8	0.0E+0
9	0.0E+0
10	1.0E-10
11	1.0E-10
12	2.8E-9
13	1.3E-8
14	1.2E-7
15	8.1E-9
16	4.9E-8
17	1.9E-7
18	7.2E-7
19	1.0E-9
20	1.6E-9
21	6.0E-10
22	2.0E-10
23	1.0E-10
24	1.0E-10
25	9.0E-10
26	4.3E-9
27	1.0E-6
28	1.5E-7
29	2.0E-8
30	7.0E-10
31	3.2E-8
32	0.0E+0
33	3.0E-10
34	1.0E-10
35	6.0E-10
36	0.0E+0
37	3.0E-10
38	4.0E-10
39	2.2E-9
40	1.2E-9
41	1.8E-9
42	4.5E-9
43	5.7E-8
44	1.0E-9
45	8.0E-10
46	2.0E-10
47	2.0E-10
48	0.0E+0
49	0.0E+0
50	1.0E-10
