This file is for Nitrogen Flow Rate and Pressure in Process Chamber with Time under Measuring Mode. 
Time (Sec)	N2 Flow (sccm)	P. C. P (mTorr)
0.000	0.55	11.34
0.177	0.55	11.47
0.348	0.54	11.47
0.518	0.62	11.26
0.692	21.95	12.82
0.861	17.71	17.92
1.061	19.66	22.64
1.261	19.82	27.90
1.461	19.85	33.77
1.661	19.89	38.74
1.861	19.90	43.84
2.061	19.90	48.11
2.261	19.91	52.75
2.461	19.93	56.86
2.661	19.92	60.80
2.861	19.93	64.34
3.061	19.94	67.42
3.261	19.94	70.87
3.461	19.93	73.83
3.661	19.93	76.62
3.861	19.93	79.37
4.061	19.99	81.47
4.261	19.92	83.40
4.461	19.95	85.78
4.661	19.94	87.55
4.861	19.94	89.60
5.061	19.95	91.08
5.261	19.95	92.64
5.461	19.97	94.37
5.661	19.93	95.48
5.861	19.97	96.79
6.061	19.94	97.86
6.261	19.94	99.17
6.461	19.95	100.28
6.661	19.94	101.15
6.861	19.95	101.89
7.061	19.96	102.79
7.261	19.95	103.45
7.461	19.96	104.19
7.661	19.94	105.09
7.861	19.96	105.83
8.061	19.96	106.08
8.261	19.96	106.86
8.461	19.97	107.18
8.661	19.96	107.68
8.861	19.94	108.09
9.061	19.97	108.54
9.261	19.96	109.28
9.461	19.95	109.61
9.661	19.97	109.48
9.861	19.96	109.94
10.061	19.95	110.31
10.261	19.99	110.59
10.461	19.97	110.84
10.661	19.94	111.33
10.861	19.96	111.09
11.061	19.95	111.29
11.261	19.96	111.58
11.461	19.99	111.79
11.661	19.95	111.99
11.861	19.96	112.28
12.061	19.96	112.28
12.261	19.96	112.44
12.461	19.97	112.52
12.661	19.96	112.65
12.861	19.95	113.14
13.061	19.96	113.10
13.261	19.96	113.18
13.461	19.98	112.98
13.661	19.99	113.14
13.861	19.99	113.47
14.061	19.94	113.35
14.261	19.95	113.47
14.461	19.96	113.51
14.661	19.96	113.51
14.861	19.95	113.59
15.061	19.99	114.13
15.261	19.96	113.92
15.461	19.97	114.04
15.661	19.96	113.92
15.861	19.96	113.51
16.061	19.96	113.72
16.261	19.98	113.92
16.461	19.96	114.13
16.661	19.96	114.09
16.861	19.97	114.13
17.061	19.97	114.21
17.261	19.98	113.88
17.461	19.97	114.09
17.661	19.99	113.72
17.861	19.96	114.04
18.061	19.98	113.68
18.261	19.97	114.50
18.461	19.97	114.21
18.661	19.95	114.25
18.861	20.04	113.80
19.061	19.92	114.29
19.261	19.95	114.25
19.461	19.96	114.21
19.661	19.97	114.17
19.861	19.96	114.04
20.061	19.96	114.33
20.261	19.96	114.17
20.461	19.97	114.17
20.661	19.98	114.13
20.861	19.96	114.04
21.061	19.97	114.09
21.261	19.98	114.37
